t, °C	ρ, kg/m³	cp, kJ/(kg·K)	10³·β, 1/K	10³·λ, W/(m·K)	10⁶·μ, Pa·s	10⁶·ν, m²/s	Pr
-180	3.8515	1.071	11.071	9.90	6.44	1.67	0.77
-160	3.1258	1.036	9.320	10.90	7.58	2.51	0.75
-140	2.6391	1.021	7.758	12.70	9.20	3.48	0.74
-120	2.2867	1.014	6.659	14.60	10.49	4.587	0.73
-100	2.0186	1.011	5.846	16.40	11.72	5.806	0.72
-80	1.8073	1.009	5.219	18.16	12.89	7.132	0.72
-60	1.6364	1.009	4.719	19.83	14.02	8.567	0.71
-40	1.4952	1.006	4.304	21.45	15.04	10.39	0.71
-20	1.3755	1.006	3.962	23.01	16.15	11.73	0.70
0	1.2754	1.006	3.671	24.54	17.10	13.41	0.70
20	1.1881	1.007	3.420	26.03	17.98	15.10	0.69
40	1.1120	1.008	3.200	27.49	18.81	16.92	0.69
60	1.0452	1.009	3.007	28.94	19.73	18.88	0.69
80	0.9859	1.010	2.836	30.38	20.73	21.30	0.69
100	0.9334	1.012	2.684	31.81	21.31	23.61	0.68
120	0.8854	1.014	2.547	33.23	22.43	25.33	0.68
140	0.8425	1.017	2.423	34.66	23.19	27.53	0.68
160	0.8036	1.020	2.313	36.07	24.01	29.88	0.68
180	0.7681	1.023	2.209	37.49	24.91	32.43	0.68
200	0.7356	1.026	2.115	38.91	25.71	34.94	0.67
250	0.6653	1.035	1.912	42.43	27.40	41.18	0.67
300	0.6072	1.046	1.745	45.29	29.20	48.09	0.66
350	0.5585	1.057	1.605	49.31	30.90	55.93	0.66
400	0.5170	1.069	1.488	52.57	32.50	63.75	0.66
450	0.4813	1.081	1.383	55.64	34.00	70.64	0.66
500	0.4502	1.093	1.293	58.48	35.50	78.86	0.66
600	0.3968	1.116	1.145	63.50	38.30	96.08	0.67
700	0.3577	1.137	1.027	68.44	40.87	114.3	0.67
800	0.3243	1.155	0.932	71.30	43.32	133.6	0.67
900	0.2967	1.171	0.852	74.30	45.65	152.9	0.72
1000	0.2734	1.185	0.786	76.80	47.88	175.1	0.74
